Ingredient_Group,kcal,kJ,graisses,acides_gras_satures,acides_gras_mono_insatures,acides_gras_polyinsatures,cholesterol_mg,glucides,sucres,amidon,fibres_alimentaires,proteines,sel
anchovy,182,765,8.5,2.9,3.4,1.3,76,0.2,0.1,0,0,26.4,12
apple,52,222,0.3,0.1,0,0.2,0,11.6,11.5,0.1,1.4,0.3,0
artichoke,27,114,0.5,0,0,0,0,2.3,1.2,0.4,3.2,1.8,0.8
aubergine,23,96,0.2,0,0,0.1,0,3.1,2.8,0.3,2.4,1,0
avocado,144,594,14.2,2.9,8.9,1.8,0,0.8,0.8,0,3,1.8,0
bacon,322,1330,27.6,10.6,12.9,2.2,49,0.6,0.6,0,0,17.8,2.8
basil,46,194,0.8,0.1,0,0.4,0,5.1,5,0.1,3.1,3.1,0
beef,134,565,5.4,2.4,2.3,0.3,53,0,0,0,0,21.4,0.1
bell pepper,32,133,0.4,0.1,0,0.1,0,5.2,5.1,0.1,2,0.9,0
bread,242,1030,0.8,0.2,0.1,0.4,0,48.9,0.2,48.2,2.5,8.5,1.7
broth,6,26,0.4,0.1,0.2,0.1,0,0.4,0.1,0.2,0,0.3,0.9
butter,745,3060,82.2,49.3,19.3,3.8,221,0.7,0.6,0,0,0.5,0
butternut squash,23,98,0.1,0.1,0,0,0,4.5,3.9,0.6,1,0.6,0
carrot,38,158,0.3,0.1,0,0.1,0,6.6,6.4,0.2,2.6,0.8,0.1
celery,15,61,0.1,0,0,0,0,1.5,1.5,0,2,0.9,0.3
cheese,397,1650,32.1,19.5,7.6,1.5,92,0,0,0,0,26.6,1.2
chicken,193,807,10.3,2.8,4.5,1.5,103,0,0,0,0,25.1,0.2
chicken broth,5,21,0.3,0.1,0.1,0.1,5,0.3,0.1,0.1,0,0.3,1
cinnamon,317,1330,3.2,0.9,0.6,0.7,0,56,55.4,0.6,24.4,3.9,0.1
coconut milk,214,884,21.3,18.9,0.9,0.2,0,3.1,1.7,0,0.1,2.4,0
coconut oil,894,3680,99,85.9,6,1.4,0,0,0,0,0,0.8,0
cod,76,323,0.4,0.1,0,0.2,59,0,0,0,0,18.1,0.1
cottage cheese,100,418,4.5,2.7,1,0.2,14,2.4,2.2,0,0,12.4,0.8
cucumber,14,57,0.1,0,0,0,0,2,1.9,0.1,0.8,0.7,0
dried lentil,324,1370,1.5,0.2,0.3,0.6,0,44.8,1.1,43.7,17,24.4,0
egg,140,583,9.8,2.6,3.7,1.7,350,0.3,0.3,0,0,12.6,0.4
egg yolk,349,1440,31.3,8.8,12,5,1255,0.3,0.2,0,0,16.4,0.1
feta,242,1010,18.8,12.1,4.8,0.9,45,1.5,0,0,0,16.7,3.3
fish,146,612,6.9,1.4,2.2,1.7,47,0,0,0,0,20.9,0.2
flour,343,1450,1.4,0.3,0.2,0.8,0,67.8,0.4,66.8,4.7,12.4,0
garlic,137,578,0.5,0.1,0,0.3,0,24.5,2.4,22.1,3,7,0
ginger,80,0,0.75,0,0,0,0,17.77,0,0,2,1.82,0
goat cheese,242,1010,18.8,12.1,4.8,0.9,45,1.5,0,0,0,16.7,3.3
gorgonzola,357,1480,31.2,18.7,7.4,1.4,94,0.1,0.1,0,0,19,3.6
green beans,31,129,0.2,0.1,0,0.1,0,3.6,2.2,1.4,3.1,2.1,0
ham,229,958,11.5,4.3,5.3,0.7,78,0.3,0.3,0,0,31,4.4
heavy cream,334,1370,34.8,20.9,8.2,1.6,101,3.1,3.1,0,0,2,0.1
kidney beans,111,465,0.6,0.1,0,0.3,0,14.5,0.4,12.7,8.5,7.7,0
lemon,23,96,0.5,0.1,0,0.1,0,2.9,2.5,0,2,0.8,0
lettuce,14,60,0.2,0,0,0.1,0,1.1,1,0,1.6,1.3,0
milk,68,282,4,2.4,0.9,0.2,15,4.7,4.7,0,0,3.2,0.1
mozzarella,256,1060,19.5,11.4,6,0.7,46,0.7,0.7,0,0,19.5,0.4
mushroom,29,122,0.4,0.1,0,0.2,0,0.6,0.2,0.1,4.9,3.5,0
mustard,124,513,7.7,0.5,4.1,2.7,0,3.8,2.6,0.4,5.3,7.1,4.1
nori sheets,255,1060,1.6,0.2,0.1,0.6,0,10.5,0.5,0,36.3,31.5,5
nutmeg,0.545,2.3,36.4,25.9,3.2,0.5,0,50,3.2,0,20.9,5.9,0
oil,810,3330,90,14.9,44.6,23.3,0,0,0,0,0,0,0
olive oil,810,3330,90,10.7,67.7,6.7,0,0,0,0,0,0,0
olives,176,722,17.2,2.1,10.2,1.5,0,0.8,0.8,0,6.2,1.4,1.8
onion,39,163,0.2,0,0,0.1,0,7,7,0,1.8,1.3,0
oregano,0.27,1.129,4,2,1,1,0,69,4,0,43,9,0
paprika,0.282,1.179,13.1,2.2,1.7,7.8,0,52.2,10.4,0,34.8,14.4,0
parsley,0.037,0.155,0.8,0.3,0.3,0,0,6.3,0.8,0,3.4,2.9,0
pasta,353,1500,1.2,0.2,0.1,0.5,0,70.5,0.4,69.7,5.1,12.6,0
peas,90,380,0.7,0.1,0.1,0.4,0,12,5.5,6.2,6,6,0
pepper,252,1.05,3.5,1.3,0.9,0.9,0,65.3,0.4,0,25.2,10.4,0
potato,76,320,0.1,0,0,0.1,0,15.6,0.7,14.7,2.1,2,0
rice,352,1490,0.9,0.2,0.3,0.3,0,78,0.2,77.8,1,7.4,0
salt,0,0,0,0,0,0,0,0,0,0,0,0,100
sour cream,336,1380,35,21,8.2,1.6,105,2.8,2.8,0,0,2.4,0.1
soy sauce,56,236,0.6,0.1,0.1,0.3,0,4.1,0.4,0,0.8,8.1,14
spinach,23,95,0.4,0.1,0,0.2,0,0.8,0.7,0.1,2.6,2.7,0.2
sugar,400,1700,0,0,0,0,0,100,100,0,0,0,0
sunflower oil,810,3330,90,9.8,27.7,49.1,0,0,0,0,0,0,0
tomato,21,89,0.3,0.1,0.1,0.1,0,3.2,3.2,0,1.2,0.8,0
tomato paste,77,326,0.2,0,0,0.1,0,12.9,12.4,0.4,2.8,4.5,0.6
tomato sauce,69,288,2.1,0.5,0.9,0.6,0,9.7,4.1,5.5,1.9,1.8,1.4
vegetable broth,6,26,0.4,0.1,0.2,0.1,0,0.4,0.1,0.2,0,0.3,0.9
vinegar,22,93,0,0,0,0,0,0.7,0.3,0,0,0.1,0
wasabi,308,1300,10.6,0,0,0,0,49.6,0,0,1.3,2.9,5.8
water,0,0,0,0,0,0,0,0,0,0,0,0,0
wine,69,287,0,0,0,0,0,0.3,0.3,0,0,0,0
yeast,354,1500,4.2,0.6,1.3,2.1,0,26.5,3.2,23.3,9.5,47.9,0.2
yogurt,66,277,3.6,2.2,0.9,0.2,11,4.5,4.5,0,0,3.9,0.1
zucchini,19,80,0.2,0,0,0.1,0,2,1.9,0.1,1,1.8,0
bay,0,0,0,0,0,0,0,0,0,0,0,0,0 
chili,0,0,0,0,0,0,0,0,0,0,0,0,0 
coconut cream,0,0,0,0,0,0,0,0,0,0,0,0,0 
dried tomatos,0,0,0,0,0,0,0,0,0,0,0,0,0 
fish sauce,0,0,0,0,0,0,0,0,0,0,0,0,0 
herb,0,0,0,0,0,0,0,0,0,0,0,0,0 
ricotta,0,0,0,0,0,0,0,0,0,0,0,0,0 
seasoning,0,0,0,0,0,0,0,0,0,0,0,0,0 
spice,0,0,0,0,0,0,0,0,0,0,0,0,0 
vanille,0,0,0,0,0,0,0,0,0,0,0,0,0