Nom,Instructions,Portions
Artichoke Spinach Lasagna,[Artichoke Spinach Lasagna](Recipe-artichoke_spinach_lasagna.pdf),8
Caldeirada(Portuguese Fish Stew),[Caldeirada (Portuguese Fish Stew)](Recipe-Caldeirada(Portuguese_Fish_Stew).pdf),4
Cheesy Beef and Bean Burritos,[Cheesy Beef and Bean Burritos](Recipe-Cheesy_Beef_and_Bean_Burritos.pdf),8
Chicken Risotto,[Chicken Risotto This Italian Kitchen](Recipe-Chicken_Risotto_This_Italian_Kitchen.pdf),8
Classic Minestrone Soup,[Classic Minestrone Soup](Recipe-classic_minestrone_soup.pdf),4
Cod with Garlicky Tomatoes and Potatoes,[Cod with Garlicky Tomatoes and Potatoes](Recipe-Cod_with_Garlicky_Tomatoes_and_Potatoes.pdf),4
Crêpes sucrées,[Crêpes sucrées](Recipe-Crêpes_sucrées.pdf),8
Galette bretonne,[Galette bretonne](Recipe-Galette_bretonne.pdf),10
Hackfleisch Zucchini Omelette,[Hackfleisch Zucchini Omelette](Recipe-Hackfleisch_Zucchini_Omelette.pdf),4
Homemade Lasagna,[Homemade Lasagna](Recipe-homemade_lasagna.pdf),8
Moroccan Lentil Stew,[Moroccan Lentil Stew](Recipe-moroccan_lentil_stew.pdf),6
No Noodle Zucchini Lasagna,[No Noodle Zucchini Lasagna](Recipe-no_noodle_zucchini_lasagna.pdf),8
Omelet,[Omelet](Recipe-Omelet.pdf),1
Pizza Margherita,[Pizza Margherita](Recipe-Pizza_Margherita.pdf),4
Pizza Quatre Fromages,[Pizza Quatre Fromages](Recipe-Pizza_Quatre_Fromages.pdf),4
Poached Cod in Tomato Curry,[Poached Cod in Tomato Curry](Recipe-Poached_Cod_in_Tomato_Curry.pdf),4
Portuguese Cod Stew,[Portuguese Cod Stew](Recipe-Portuguese_Cod_Stew.pdf),4
Poulet Curry,[Poulet Curry](Recipe-Poulet_Curry.pdf),4
Poulet Korma,[Poulet Korma](Recipe-Poulet_Korma.pdf),4
Poulet Tandoori,[Poulet Tandoori](Recipe-Poulet_Tandoori.pdf),2
Quiche Lorraine,[Quiche Lorraine](Recipe-Quiche_Lorraine.pdf),4
Ratatouille,[Ratatouille](Recipe-Ratatouille.pdf),4
Salade César au poulet grillé,[Salade César au poulet grillé](Recipe-Salade_César_au_poulet_grillé.pdf),8
Salade César classique,[Salade César classique](Recipe-Salade_César_classique.pdf),8
Spaghetti Carbonara,[Spaghetti Carbonara](Recipe-Spaghetti_Carbonara.pdf),2
Spanish Cod with Tomatoes and Olives,[Spanish Cod with Tomatoes and Olives Recipe](Recipe-Spanish_Cod_with_Tomatoes_and_Olives_Recipe.pdf),4
Sushi Maki,[Sushi Maki](Recipe-Sushi_Maki.pdf),4
Tarte aux pommes classique,[Tarte aux_pommes_classique](Recipe-Tarte_aux_pommes_classique.pdf),4
Tarte Tatin,[Tarte Tatin](Recipe-Tarte_Tatin.pdf),6
Tomato Risotto,[Tomato Risotto Recipe Bon Appétit](Recipe-Tomato_Risotto_Recipe_Bon_Appétit.pdf),4
Tomato Risotto with Saffron,[Tomato Risotto with Saffron Feasting At Home](Recipe-Tomato_Risotto_with_Saffron_Feasting_At_Home.pdf),6